year,eccentricity,semi_major_axis_au,semi_minor_axis_au,mean_distance_au,true_anomaly_rad,heliocentric_x_au,heliocentric_y_au,heliocentric_z_au,orbital_speed_m_s,equilibrium_temp_c,climate_temp_c,phase
5421.184320266889,0.057271739355392655,1.0,0.998358626882749,0.9464166005855325,0.38163763966125974,0.821055824148913,0.031758088127334085,0.3510505617300188,31425.803880831394,-12.018916247443372,14.673079690936957,Interglacial
5504.587155963302,0.05723403001829051,1.0,0.9983607893982342,0.9465642909050123,0.3874485352009992,0.8191672104119794,0.032594810196552984,0.3561494081660722,31421.149611069413,-12.039288893039725,14.64723283053144,Interglacial
5587.989991659716,0.05719576788489659,1.0,0.998362982154315,0.9467139500091395,0.3932567605894098,0.8172516952135865,0.03343573041040171,0.3612353655920992,31416.434075892386,-12.059928252794066,14.620778550855603,Interglacial
5671.39282735613,0.057156953988328804,1.0,0.9983652050280879,0.9468655654747941,0.39906228263462645,0.8153093629914895,0.03428050531004558,0.3663083015347328,31411.65769719339,-12.08083242283169,14.59372208368632,Interglacial
5754.795663052543,0.057117589376593114,1.0,0.9983674578950412,0.9470191247340022,0.4048650684510108,0.8133402992082384,0.03512878952560403,0.3713680855416342,31406.820901539457,-12.101999478592631,14.566068795834157,Interglacial
5838.198498748957,0.057077675112554724,1.0,0.9983697406290646,0.9471746150756644,0.4106650854621994,0.811344590341254,0.03598023589922532,0.3764145891599365,31401.924120104155,-12.123427475150379,14.53782418783557,Interglacial
5921.601334445371,0.05703721227390893,1.0,0.9983720531024599,0.9473320236472945,0.4164623014040955,0.8093223238728243,0.03683449560851817,0.3814476859132342,31396.96778859985,-12.145114447532592,14.508993892605709,Interglacial
6005.004170141785,0.056996201953151596,1.0,0.9983743951859521,0.947491337456777,0.4222566843277983,0.8072735882800337,0.037691218290294,0.3864672512771444,31391.952347209335,-12.167058411043797,14.479583674052353,Interglacial
6088.4070058381985,0.05695464525754913,1.0,0.9983767667486992,0.9476525433741362,0.4280482026024744,0.8051984730246177,0.038550052164574695,0.39147316265347454,31386.878240517097,-12.18925736159025,14.44959942565133,Interglacial
6171.809841534612,0.05691254330910815,1.0,0.9983791676583045,0.9478156281333205,0.43383682491816816,0.8030970685427541,0.03941064415882031,0.39646529934302827,31381.745917440123,-12.211709276006786,14.419047168983994,Interglacial
6255.212677231026,0.05686989724454469,1.0,0.9983815977808259,0.9479805783339997,0.4396225202885524,0.8009694662347874,0.04027264003233227,0.40144354251708314,31376.555831158257,-12.234412112385371,14.38793305223717,Interglacial
6338.615512927439,0.056826708215253034,1.0,0.9983840569807886,0.9481473804433749,0.44540525805361725,0.798815758454892,0.041135684500787605,0.4064077751875758,31371.30843904427,-12.257363810405195,14.356263348666102,Interglacial
6422.018348623853,0.05678297738727408,1.0,0.9983865451211952,0.9483160207980011,0.45118500788229965,0.7966360385006765,0.04199942136086056,0.41135788217603136,31366.00420259342,-12.280562291664864,14.324044455020928,Interglacial
6505.421184320267,0.05673870594126342,1.0,0.9983890620635378,0.9484864856056232,0.45696173977505,0.7944304006027316,0.042863493614887956,0.41629375008127345,31360.64358735274,-12.30400546001556,14.291282889937163,Interglacial
6588.82402001668,0.056693895072458915,1.0,0.9983916076678094,0.9486587609470216,0.46273542406634033,0.7921989399141228,0.04372754359553581,0.42121526724595687,31355.227062849946,-12.32769120189613,14.257985292290789,Interglacial
6672.226855713094,0.0566485459906479,1.0,0.998394181792515,0.948832832777871,0.4685060314271072,0.7899417524998344,0.04459121309042423,0.4261223237219562,31349.75510252205,-12.351617386669261,14.224158419518465,Interglacial
